PyTorch CUDA: True
GPU: NVIDIA RTX A6000
Loading ArcFace model...
Available ONNX providers: ['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider']
  Using providers: ['CUDAExecutionProvider', 'CPUExecutionProvider']
Model loaded!
Total observations to re-embed: 156194
[95000/156194] success=95000 failed=0 rate=171.3/s ETA=357s
[95500/156194] success=95500 failed=0 rate=171.2/s ETA=355s
[96000/156194] success=96000 failed=0 rate=171.2/s ETA=352s
[96500/156194] success=96500 failed=0 rate=171.4/s ETA=348s
[97000/156194] success=97000 failed=0 rate=171.5/s ETA=345s
[97500/156194] success=97500 failed=0 rate=171.5/s ETA=342s
[98000/156194] success=98000 failed=0 rate=171.4/s ETA=340s
[98500/156194] success=98500 failed=0 rate=171.3/s ETA=337s
[99000/156194] success=99000 failed=0 rate=171.3/s ETA=334s
[99500/156194] success=99500 failed=0 rate=171.5/s ETA=331s
[100000/156194] success=100000 failed=0 rate=171.6/s ETA=327s
[100500/156194] success=100500 failed=0 rate=171.8/s ETA=324s
[101000/156194] success=101000 failed=0 rate=171.9/s ETA=321s
[101500/156194] success=101500 failed=0 rate=172.2/s ETA=318s
[102000/156194] success=102000 failed=0 rate=172.1/s ETA=315s
[102500/156194] success=102500 failed=0 rate=172.1/s ETA=312s
[103000/156194] success=103000 failed=0 rate=172.3/s ETA=309s
[103500/156194] success=103500 failed=0 rate=172.4/s ETA=306s
[104000/156194] success=104000 failed=0 rate=172.4/s ETA=303s
[104500/156194] success=104500 failed=0 rate=172.1/s ETA=300s
[105000/156194] success=105000 failed=0 rate=172.1/s ETA=298s
[105500/156194] success=105500 failed=0 rate=172.1/s ETA=295s
[106000/156194] success=106000 failed=0 rate=172.1/s ETA=292s
[106500/156194] success=106500 failed=0 rate=172.1/s ETA=289s
[107000/156194] success=107000 failed=0 rate=172.1/s ETA=286s
[107500/156194] success=107500 failed=0 rate=172.2/s ETA=283s
[108000/156194] success=108000 failed=0 rate=172.3/s ETA=280s
[108500/156194] success=108500 failed=0 rate=172.4/s ETA=277s
[109000/156194] success=109000 failed=0 rate=172.4/s ETA=274s
[109500/156194] success=109500 failed=0 rate=172.5/s ETA=271s
[110000/156194] success=110000 failed=0 rate=172.7/s ETA=268s
[110500/156194] success=110500 failed=0 rate=172.7/s ETA=265s
[111000/156194] success=111000 failed=0 rate=172.7/s ETA=262s
[111500/156194] success=111500 failed=0 rate=172.7/s ETA=259s
[112000/156194] success=112000 failed=0 rate=172.7/s ETA=256s
[112500/156194] success=112500 failed=0 rate=172.7/s ETA=253s
[113000/156194] success=113000 failed=0 rate=172.8/s ETA=250s
[113500/156194] success=113500 failed=0 rate=172.7/s ETA=247s
[114000/156194] success=114000 failed=0 rate=172.7/s ETA=244s
[114500/156194] success=114500 failed=0 rate=172.6/s ETA=242s
[115000/156194] success=115000 failed=0 rate=172.6/s ETA=239s
[115500/156194] success=115500 failed=0 rate=172.5/s ETA=236s
[116000/156194] success=116000 failed=0 rate=172.5/s ETA=233s
[116500/156194] success=116500 failed=0 rate=172.5/s ETA=230s
[117000/156194] success=117000 failed=0 rate=172.5/s ETA=227s
[117500/156194] success=117500 failed=0 rate=172.5/s ETA=224s
[118000/156194] success=118000 failed=0 rate=172.5/s ETA=221s
[118500/156194] success=118500 failed=0 rate=172.4/s ETA=219s
[119000/156194] success=119000 failed=0 rate=172.2/s ETA=216s
[119500/156194] success=119500 failed=0 rate=171.6/s ETA=214s
[120000/156194] success=120000 failed=0 rate=171.5/s ETA=211s
[120500/156194] success=120500 failed=0 rate=171.1/s ETA=209s
[121000/156194] success=121000 failed=0 rate=170.9/s ETA=206s
[121500/156194] success=121500 failed=0 rate=171.0/s ETA=203s
[122000/156194] success=122000 failed=0 rate=171.1/s ETA=200s
[122500/156194] success=122500 failed=0 rate=171.2/s ETA=197s
[123000/156194] success=123000 failed=0 rate=171.3/s ETA=194s
[123500/156194] success=123500 failed=0 rate=171.3/s ETA=191s
[124000/156194] success=124000 failed=0 rate=171.3/s ETA=188s
[124500/156194] success=124500 failed=0 rate=171.4/s ETA=185s
[125000/156194] success=125000 failed=0 rate=171.4/s ETA=182s
[125500/156194] success=125500 failed=0 rate=171.5/s ETA=179s
[126000/156194] success=126000 failed=0 rate=171.6/s ETA=176s
[126500/156194] success=126500 failed=0 rate=171.7/s ETA=173s
[127000/156194] success=127000 failed=0 rate=171.8/s ETA=170s
[127500/156194] success=127500 failed=0 rate=171.7/s ETA=167s
[128000/156194] success=128000 failed=0 rate=171.8/s ETA=164s
[128500/156194] success=128500 failed=0 rate=171.9/s ETA=161s
[129000/156194] success=129000 failed=0 rate=172.0/s ETA=158s
[129500/156194] success=129500 failed=0 rate=172.1/s ETA=155s
[130000/156194] success=130000 failed=0 rate=171.1/s ETA=153s
[130500/156194] success=130500 failed=0 rate=171.2/s ETA=150s
[131000/156194] success=131000 failed=0 rate=171.4/s ETA=147s
[131500/156194] success=131500 failed=0 rate=171.4/s ETA=144s
[132000/156194] success=132000 failed=0 rate=171.6/s ETA=141s
[132500/156194] success=132500 failed=0 rate=171.7/s ETA=138s
[133000/156194] success=133000 failed=0 rate=172.8/s ETA=134s
[133500/156194] success=133500 failed=0 rate=171.9/s ETA=132s
[134000/156194] success=134000 failed=0 rate=171.9/s ETA=129s
[134500/156194] success=134500 failed=0 rate=171.9/s ETA=126s
[135000/156194] success=135000 failed=0 rate=172.0/s ETA=123s
[135500/156194] success=135500 failed=0 rate=172.1/s ETA=120s
[136000/156194] success=136000 failed=0 rate=172.2/s ETA=117s
[136500/156194] success=136500 failed=0 rate=172.2/s ETA=114s
[137000/156194] success=137000 failed=0 rate=172.3/s ETA=111s
[137500/156194] success=137500 failed=0 rate=172.3/s ETA=109s
[138000/156194] success=138000 failed=0 rate=172.1/s ETA=106s
[138500/156194] success=138500 failed=0 rate=172.7/s ETA=102s
[139000/156194] success=139000 failed=0 rate=171.6/s ETA=100s
[139500/156194] success=139500 failed=0 rate=171.6/s ETA=97s
[140000/156194] success=140000 failed=0 rate=171.7/s ETA=94s
[140500/156194] success=140500 failed=0 rate=171.7/s ETA=91s
[141000/156194] success=141000 failed=0 rate=171.7/s ETA=89s
[141500/156194] success=141500 failed=0 rate=171.6/s ETA=86s
[142000/156194] success=142000 failed=0 rate=171.6/s ETA=83s
[142500/156194] success=142500 failed=0 rate=171.5/s ETA=80s
[143000/156194] success=143000 failed=0 rate=171.4/s ETA=77s
[143500/156194] success=143500 failed=0 rate=172.0/s ETA=74s
[144000/156194] success=144000 failed=0 rate=172.1/s ETA=71s
[144500/156194] success=144500 failed=0 rate=172.2/s ETA=68s
[145000/156194] success=145000 failed=0 rate=172.3/s ETA=65s
[145500/156194] success=145500 failed=0 rate=172.3/s ETA=62s
[146000/156194] success=146000 failed=0 rate=172.5/s ETA=59s
[146500/156194] success=146500 failed=0 rate=172.6/s ETA=56s
[147000/156194] success=147000 failed=0 rate=172.7/s ETA=53s
[147500/156194] success=147500 failed=0 rate=172.9/s ETA=50s
[148000/156194] success=148000 failed=0 rate=172.8/s ETA=47s
[148500/156194] success=148500 failed=0 rate=172.8/s ETA=45s
[149000/156194] success=149000 failed=0 rate=172.6/s ETA=42s
[149500/156194] success=149500 failed=0 rate=172.7/s ETA=39s
[150000/156194] success=150000 failed=0 rate=172.7/s ETA=36s
[150500/156194] success=150500 failed=0 rate=172.7/s ETA=33s
[151000/156194] success=151000 failed=0 rate=172.8/s ETA=30s
[151500/156194] success=151500 failed=0 rate=172.8/s ETA=27s
[152000/156194] success=152000 failed=0 rate=172.9/s ETA=24s
[152500/156194] success=152500 failed=0 rate=173.0/s ETA=21s
[153000/156194] success=153000 failed=0 rate=173.2/s ETA=18s
[153500/156194] success=153500 failed=0 rate=173.3/s ETA=16s
[154000/156194] success=154000 failed=0 rate=173.4/s ETA=13s
[154500/156194] success=154500 failed=0 rate=173.6/s ETA=10s
[155000/156194] success=155000 failed=0 rate=173.7/s ETA=7s
[155500/156194] success=155500 failed=0 rate=173.8/s ETA=4s
[156000/156194] success=156000 failed=0 rate=173.9/s ETA=1s

=== RE-EMBEDDING COMPLETE ===
Total: 156194
Success: 156194
Failed: 0
Time: 898s
